City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,fada,9.5667,8.3,19.79,94,100,1.78,NG,1694741818
353,kamina,-8.7386,24.9906,20.01,45,85,1.1,CD,1694741818
354,labuan,5.2767,115.2417,29.2,79,20,1.54,MY,1694741558
355,kourou,5.1552,-52.6478,28.03,87,1,3.44,GF,1694741819
356,gao,16.6362,1.637,32.93,40,46,4.11,ML,1694741820
357,kapa'a,22.0752,-159.319,28.99,80,75,6.69,US,1694741820
358,shingu,33.7333,135.9833,29.59,66,100,1.88,JP,1694741820
359,brookings,44.3114,-96.7984,17.28,95,40,4.12,US,1694741690
360,tuy hoa,13.0833,109.3,31.29,57,83,4.78,VN,1694741821
361,utrik,11.2278,169.8474,28.57,77,100,6.05,MH,1694741822
362,cole harbour,44.6724,-63.4751,20.66,98,100,3.6,CA,1694741822
